"행정구역","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~9세","2019년_계_10~19세","2019년_계_20~29세","2019년_계_30~39세","2019년_계_40~49세","2019년_계_50~59세","2019년_계_60~69세","2019년_계_70~79세","2019년_계_80~89세","2019년_계_90~99세","2019년_계_100세 이상","2019년_남_총인구수","2019년_남_연령구간인구수","2019년_남_0~9세","2019년_남_10~19세","2019년_남_20~29세","2019년_남_30~39세","2019년_남_40~49세","2019년_남_50~59세","2019년_남_60~69세","2019년_남_70~79세","2019년_남_80~89세","2019년_남_90~99세","2019년_남_100세 이상","2019년_여_총인구수","2019년_여_연령구간인구수","2019년_여_0~9세","2019년_여_10~19세","2019년_여_20~29세","2019년_여_30~39세","2019년_여_40~49세","2019년_여_50~59세","2019년_여_60~69세","2019년_여_70~79세","2019년_여_80~89세","2019년_여_90~99세","2019년_여_100세 이상"
"경상남도 김해시 (4825000000)","542,455","542,455","52,118","63,248","69,424","72,893","99,618","94,675","53,138","25,286","10,680","1,296","79","274,336","274,336","26,542","33,114","37,535","37,298","49,591","48,905","27,026","10,794","3,258","251","22","268,119","268,119","25,576","30,134","31,889","35,595","50,027","45,770","26,112","14,492","7,422","1,045","57"
"경상남도 밀양시 (4827000000)","105,552","105,552","5,936","8,155","9,540","9,334","13,281","19,394","19,990","12,334","6,706","844","38","51,618","51,618","3,006","4,280","5,457","4,920","7,044","9,781","9,692","5,247","2,020","167","4","53,934","53,934","2,930","3,875","4,083","4,414","6,237","9,613","10,298","7,087","4,686","677","34"
"경상남도 거제시 (4831000000)","248,276","248,276","28,840","28,309","25,190","40,075","47,265","38,452","24,204","10,391","4,784","729","37","130,141","130,141","14,871","14,902","13,955","21,378","25,773","20,241","12,690","4,817","1,388","122","4","118,135","118,135","13,969","13,407","11,235","18,697","21,492","18,211","11,514","5,574","3,396","607","33"
"경상남도 양산시 (4833000000)","350,759","350,759","36,334","34,370","41,373","52,213","60,142","57,931","39,420","19,972","7,960","989","55","176,114","176,114","18,584","17,679","22,167","26,740","30,524","29,325","19,342","8,839","2,698","208","8","174,645","174,645","17,750","16,691","19,206","25,473","29,618","28,606","20,078","11,133","5,262","781","47"
"경상남도 의령군 (4872000000)","27,168","27,168","1,156","1,633","2,128","1,930","2,983","4,798","5,099","4,087","2,949","398","7","13,242","13,242","592","883","1,185","1,014","1,740","2,626","2,619","1,642","856","84","1","13,926","13,926","564","750","943","916","1,243","2,172","2,480","2,445","2,093","314","6"
"경상남도 함안군 (4873000000)","65,700","65,700","4,618","6,183","5,905","6,337","9,704","11,523","10,447","6,598","3,894","483","8","33,203","33,203","2,303","3,265","3,365","3,243","5,270","6,289","5,402","2,831","1,137","95","3","32,497","32,497","2,315","2,918","2,540","3,094","4,434","5,234","5,045","3,767","2,757","388","5"
"경상남도 창녕군 (4874000000)","62,331","62,331","3,594","4,260","5,284","5,562","7,295","11,324","11,498","8,074","4,835","582","23","31,015","31,015","1,865","2,281","3,026","3,063","4,147","5,915","5,758","3,419","1,435","104","2","31,316","31,316","1,729","1,979","2,258","2,499","3,148","5,409","5,740","4,655","3,400","478","21"
"경상남도 고성군 (4882000000)","52,276","52,276","2,901","4,172","4,159","4,340","6,728","9,338","9,205","6,793","4,049","579","12","26,208","26,208","1,478","2,254","2,429","2,378","3,761","5,033","4,589","2,953","1,223","106","4","26,068","26,068","1,423","1,918","1,730","1,962","2,967","4,305","4,616","3,840","2,826","473","8"
"경상남도 남해군 (4884000000)","43,622","43,622","1,675","3,168","3,376","2,654","4,793","7,639","7,940","6,862","4,714","784","17","20,988","20,988","893","1,733","2,005","1,390","2,611","4,041","3,863","2,933","1,382","136","1","22,634","22,634","782","1,435","1,371","1,264","2,182","3,598","4,077","3,929","3,332","648","16"
"경상남도 하동군 (4885000000)","46,574","46,574","2,117","3,137","3,938","3,102","5,557","8,860","8,472","6,461","4,262","647","21","23,149","23,149","1,113","1,672","2,308","1,703","3,118","4,792","4,311","2,697","1,302","130","3","23,425","23,425","1,004","1,465","1,630","1,399","2,439","4,068","4,161","3,764","2,960","517","18"
"경상남도 산청군 (4886000000)","35,417","35,417","1,523","2,219","2,648","2,347","3,694","6,764","6,787","5,338","3,575","509","13","17,321","17,321","807","1,164","1,499","1,265","2,059","3,607","3,511","2,263","1,038","107","1","18,096","18,096","716","1,055","1,149","1,082","1,635","3,157","3,276","3,075","2,537","402","12"
"경상남도 함양군 (4887000000)","39,637","39,637","1,943","3,124","3,300","2,776","4,650","7,122","6,870","5,591","3,701","528","32","19,097","19,097","990","1,611","1,880","1,435","2,561","3,737","3,388","2,256","1,114","118","7","20,540","20,540","953","1,513","1,420","1,341","2,089","3,385","3,482","3,335","2,587","410","25"
"경상남도 거창군 (4888000000)","62,179","62,179","3,991","5,888","6,129","5,303","8,035","10,753","9,554","7,160","4,690","637","39","30,345","30,345","2,065","3,112","3,598","2,698","4,174","5,528","4,637","2,902","1,476","147","8","31,834","31,834","1,926","2,776","2,531","2,605","3,861","5,225","4,917","4,258","3,214","490","31"
"경상남도 합천군 (4889000000)","45,204","45,204","1,712","2,659","3,320","2,841","4,578","8,154","8,616","7,440","5,218","632","34","21,655","21,655","882","1,387","1,869","1,563","2,602","4,419","4,333","2,946","1,521","129","4","23,549","23,549","830","1,272","1,451","1,278","1,976","3,735","4,283","4,494","3,697","503","30"
"제주특별자치도  (5000000000)","670,989","670,989","62,286","72,127","82,155","84,830","113,091","110,759","74,425","44,580","22,724","3,742","270","337,345","337,345","32,032","37,708","43,452","43,072","58,563","57,690","36,754","20,109","7,382","549","34","333,644","333,644","30,254","34,419","38,703","41,758","54,528","53,069","37,671","24,471","15,342","3,193","236"
"제주특별자치도 제주시 (5011000000)","489,405","489,405","47,172","54,588","62,584","64,232","83,225","79,410","51,224","29,327","14,889","2,585","169","245,533","245,533","24,285","28,577","33,036","32,618","42,381","40,959","25,257","13,196","4,829","372","23","243,872","243,872","22,887","26,011","29,548","31,614","40,844","38,451","25,967","16,131","10,060","2,213","146"
"제주특별자치도 서귀포시 (5013000000)","181,584","181,584","15,114","17,539","19,571","20,598","29,866","31,349","23,201","15,253","7,835","1,157","101","91,812","91,812","7,747","9,131","10,416","10,454","16,182","16,731","11,497","6,913","2,553","177","11","89,772","89,772","7,367","8,408","9,155","10,144","13,684","14,618","11,704","8,340","5,282","980","90"
